"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
1,1,1,1,1,1,0.810542853,1
0.95790733,1,1,0.95790733,1,1,0.879788193,1
0.859850517,1,1,0.859850517,1,1,0.844970745,1
0.75121748,1,1,0.75121748,1,1,0.881642639,1
1,1,1,1,0.960057402,1,0.987681874,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
0.745156327,1,1,0.745156327,1,1,0.887119063,1
0.963800265,0.997181613,0.997181613,0.963800265,0.997181613,0.997181613,0.593927607,0.997181613
1,1,1,1,1,1,0.806615637,1
1,1,1,1,1,1,0.881782483,1
0.816543698,1,0.957005089,0.816543698,1,0.957005089,0.917970367,1
1,1,1,0.939703121,1,1,0.792921938,0.939703121
0.987177822,0.987177822,1,0.987177822,0.987177822,1,0.992064502,1.113497109
1,1,1,1,1,1,0.550197064,1
1,1,1,1,1,1,0.997440992,0.997440992
1,1,1,1,0.997334088,1,0.757948662,1
0.879361078,1,0.996117434,0.879361078,1,0.996117434,0.669687551,0.953482339
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.800211987,1
1,1,1,0.967125323,0.99429657,1,0.580133935,0.903657454
1,1,1,1,1,1,0.996724788,1
1,1,1,1,0.892817755,1,0.701903717,1
1,1,1,1,1,1,0.883521047,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.778449987,1
1,1,1,1,1,1,0.905665308,1
1,1,1,1,1,1,1.092459839,1.092459839
1,1,1,1,1,1,0.865405849,1.009273582
1,1,1,1,1,1,0.812281353,0.981638232
1,1,1,1,0.9851276,1,0.851890142,0.904338399
1,1,1,1,1,1,0.859617817,1
1,1,1,1,1,1,0.918464147,0.997858662
0.947556473,1,1,0.947556473,1,1,0.941522955,1
1,1,1,1,1,1,0.92534468,1
1,1,1,1,1,1,0.92722306,0.954844937
0.976885817,1,1,0.976885817,1,1,0.867431246,1
1,1,1,1,1,1,0.579675239,1
1,1,1,1,1,1,0.87356289,0.822941536
1,1,1,1,1,1,0.855851438,1
1,1,1,1,1,1,0.887423085,1
0.971653379,1,1,0.971653379,1,1,0.909805103,1.015411384
1,1,1,1,1,1,0.742093632,0.991430212
1,1,1,1,1,1,0.768841644,1.039461136
1,1,0.994091996,1,1,0.994091996,0.762063692,1.07801294
1,1,1,1,1,1,0.615976875,0.950859055
0.921151361,1,1,0.921151361,1,1,0.489064196,1
0.976433749,0.972535292,1,0.976433749,0.972535292,1,0.931561666,1.01708091
1,1,1,1,1,1,0.766465664,0.848258524
1,1,1,1,1,1,0.979806821,1.080472234
1,1,1,1,0.946759266,1,0.723484568,0
1,1,1,1,1,1,0.655068176,1
1,1,1,1,1,1,1,1
1,1,1,0.874733808,0.935604718,1,0.939129091,0.939129091
0.885701363,1,1,0.885701363,1,1,0.939060583,1
1,1,1,1,1,1,0.780839588,1
1,1,1,1,1,1,0.857421121,1
0.947345245,0.971852369,0.897539708,0.947345245,0.971852369,0.897539708,0.91688086,1.047297667
0.971131471,0.990832682,1,0.971131471,0.990832682,1,0.962844708,0.990832682
1,0.950667219,1,1,0.950667219,1,0.848346779,1.004999921
