"BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","GAFES(pop:30,gen:100)","SPLConfig"
"0.058541","0.050387","0.13048","0.050095","0.042522","0.115627","0.466584","0.098734"
"0.066405","0.049221","0.126694","0.050678","0.039902","0.117665","0.470079","0.062037"
"0.052425","0.039901","0.10951","0.04194","0.038445","0.100482","0.380957","0.061454"
"0.073686","0.055338","0.13514","0.052425","0.049222","0.108054","0.284552","0.096986"
"0.053008","0.046017","0.107472","0.041357","0.041358","0.10252","0.295911","0.078929"
"0.077764","0.042814","0.100191","0.035241","0.030872","0.097278","0.33057","0.064075"
"0.048056","0.042522","0.110384","0.037863","0.037862","0.102229","0.326492","0.083298"
"0.025339","0.022426","0.094656","0.020971","0.020096","0.108637","0.309309","0.098443"
"0.024757","0.020387","0.096986","0.019805","0.018931","0.100482","0.39581","0.053008"
"0.047182","0.033785","0.11184","0.039318","0.03262","0.104268","0.268533","0.07689"
"0.043396","0.046891","0.101064","0.03728","0.036698","0.094074","0.389111","0.055047"
"0.01631","0.02097","0.080968","0.012815","0.017766","0.07689","0.327366","0.040193"
"0.054755","0.06291","0.125238","0.045726","0.046308","0.118247","0.408625","0.064657"
"0.036115","0.034659","0.115336","0.033785","0.03495","0.103394","0.335813","0.067279"
"0.066696","0.0233","0.131646","0.047473","0.04194","0.131063","0.267659","0.046018"
"0.047474","0.031746","0.105724","0.039902","0.040192","0.099026","0.376878","0.062037"
"0.04893","0.043397","0.118248","0.046309","0.034077","0.109802","0.501534","0.060289"
"0.039902","0.030581","0.103103","0.035242","0.025922","0.103394","0.33057","0.046891"
"0.063493","0.048639","0.144461","0.056211","0.040775","0.134849","0.601725","0.071066"
"0.05126","0.065531","0.15378","0.059124","0.049221","0.145334","0.483768","0.055338"
"0.078638","0.060871","0.167761","0.06524","0.054464","0.155819","0.627064","0.106016"
"0.058833","0.050677","0.134558","0.049221","0.044562","0.128733","0.393189","0.068444"
"0.04194","0.035532","0.144169","0.036698","0.038737","0.147664","0.727545","0.071648"
"0.057377","0.037863","0.150577","0.042814","0.042814","0.137471","0.584832","0.059415"
"0.041358","0.040775","0.127276","0.034659","0.03495","0.120286","0.468041","0.06291"
"0.073395","0.057377","0.146499","0.059997","0.050678","0.137179","0.456681","0.077764"
"0.086211","0.076891","0.169217","0.071648","0.065823","0.157567","0.448527","0.080677"
"0.073686","0.069609","0.157567","0.061454","0.061745","0.14679","0.632888","0.071939"
"0.051551","0.052716","0.134849","0.045435","0.044852","0.172712","0.459303","0.058251"
"0.082424","0.064366","0.135432","0.058542","0.055629","0.126111","0.337851","0.0932"
"0.073978","0.055628","0.139218","0.049513","0.043688","0.131062","0.485224","0.065823"
"0.04893","0.036989","0.126112","0.041066","0.032038","0.131355","0.528912","0.061163"
"0.070482","0.058542","0.154655","0.060289","0.050387","0.167469","0.417363","0.115044"
"0.035824","0.034076","0.120287","0.028543","0.031164","0.113879","0.634927","0.060289"
"0.071357","0.047474","0.159606","0.054464","0.046309","0.131936","0.68677","0.069026"
"0.071647","0.060872","0.140965","0.056794","0.053299","0.14184","0.46571","0.092327"
"0.036406","0.03495","0.137179","0.030581","0.033785","0.126403","0.490758","0.063492"
"0.047474","0.053007","0.147956","0.040193","0.045727","0.142713","0.622695","0.069027"
"0.037862","0.03961","0.122908","0.030872","0.03262","0.112714","0.670751","0.069027"
"0.028833","0.032911","0.126402","0.025921","0.026212","0.117957","0.530659","0.064366"
"0.085337","0.036406","0.143878","0.041357","0.041649","0.131937","0.702497","0.054755"
"0.055629","0.057668","0.145916","0.044852","0.049222","0.129898","0.595608","0.068152"
"0.01864","0.019222","0.122325","0.013398","0.016019","0.118248","0.526872","0.048639"
"0.065531","0.067278","0.153489","0.056502","0.051843","0.143587","0.495418","0.07689"
"0.033203","0.041066","0.126402","0.028251","0.035824","0.120869","0.486389","0.057959"
"0.035241","0.034367","0.131646","0.027668","0.030873","0.126985","0.507942","0.059706"
"0.02796","0.028542","0.107471","0.026503","0.025339","0.102229","0.508815","0.062328"
"0.052717","0.03728","0.106015","0.036697","0.03029","0.095821","0.298824","0.062619"
"0.050096","0.04893","0.115626","0.040775","0.041649","0.106889","0.350666","0.07689"
"0.04893","0.044562","0.112714","0.039902","0.039319","0.106307","0.318046","0.06757"
"0.022427","0.024174","0.033203","0.021844","0.022135","0.030873","25.106699","0.097278"
"0.055337","0.060871","0.114753","0.042231","0.027086","0.090288","0.334938","0.074269"
"0.040775","0.038154","0.112714","0.036116","0.038445","0.106889","0.378917","0.07223"
"0.035533","0.039901","0.106598","0.031163","0.034658","0.103685","0.371054","0.062619"
"0.032329","0.032911","0.120578","0.025921","0.032038","0.112131","0.449983","0.073104"
"0.06757","0.087375","0.131062","0.066114","0.043687","0.117665","0.293581","0.096113"
"0.036406","0.033203","0.11184","0.029125","0.035824","0.106015","0.366394","0.080968"
"0.047183","0.042231","0.117956","0.039318","0.038445","0.115336","0.385033","0.106889"
"0.045435","0.03961","0.112422","0.03728","0.036988","0.110093","0.369306","0.091162"
"0.060289","0.042523","0.127276","0.049221","0.039028","0.133975","0.491049","0.155819"
"0.05592","0.0466","0.131645","0.047765","0.042814","0.122034","0.510271","0.104268"
"0.040484","0.035824","0.107762","0.033785","0.031455","0.106889","0.415615","0.06524"
"0.051843","0.042522","0.132519","0.048347","0.036697","0.122908","0.624733","0.07689"
"0.047473","0.032329","0.143878","0.039027","0.028543","0.13718","0.895888","0.0932"
"0.066696","0.062327","0.132228","0.054755","0.051843","0.126403","0.390859","0.089123"
"0.040484","0.057085","0.120287","0.034658","0.033203","0.117374","0.457264","0.070483"
"0.05126","0.048056","0.191643","0.039319","0.044561","0.145625","0.729584","0.112131"
"0.035241","0.036115","0.151741","0.024756","0.027377","0.127859","0.941031","0.076891"
"0.059415","0.048639","0.173003","0.057668","0.056502","0.164265","0.618617","0.068735"
"0.06291","0.041066","0.168052","0.061745","0.03495","0.153489","0.618617","0.14883"
"0.034076","0.03029","0.129024","0.021844","0.025048","0.122907","0.54231","0.077472"
"0.049513","0.030581","0.123199","0.04427","0.036989","0.115918","0.534154","0.0699"
"0.044562","0.038153","0.131354","0.038445","0.030872","0.122908","0.553085","0.071065"
"0.02563","0.026213","0.124655","0.021843","0.0233","0.118248","0.650072","0.066988"
"0.024174","0.025921","0.116792","0.020096","0.022427","0.112132","0.609879","0.059998"
"0.093783","0.049221","0.12116","0.042232","0.037863","0.129606","0.451439","0.119705"
"0.041649","0.090287","0.170673","0.044562","0.053008","0.163392","0.748223","0.108054"
"0.059124","0.04427","0.17009","0.048347","0.039901","0.16281","0.733078","0.097569"
"0.052425","0.048056","0.182323","0.037862","0.039028","0.145626","0.647742","0.097278"
"0.045144","0.039027","0.154654","0.039319","0.035532","0.1631","0.697255","0.108345"
"0.047474","0.047474","0.163101","0.040775","0.042232","0.161936","0.70541","0.105142"
"0.047182","0.047473","0.159023","0.040484","0.042523","0.163683","0.710652","0.107181"
"0.042523","0.037863","0.143004","0.029416","0.031747","0.143295","0.581919","0.103686"
"0.064075","0.055047","0.153781","0.053591","0.046891","0.146208","0.55658","0.11417"
"0.061745","0.041357","0.140965","0.049221","0.035532","0.135723","0.557454","0.10718"
"0.054464","0.05592","0.151742","0.044562","0.051843","0.147372","0.578715","0.104559"
"0.065531","0.064949","0.16543","0.053299","0.05592","0.150576","0.585705","0.103686"
"0.045435","0.037572","0.137471","0.034367","0.03495","0.128441","0.502991","0.095239"
"0.060872","0.066406","0.157275","0.048639","0.056502","0.143587","0.512601","0.102229"
"0.029417","0.053299","0.143878","0.034076","0.046309","0.131063","0.451439","0.080094"
"0.038736","0.03495","0.126694","0.034076","0.033785","0.120578","0.514057","0.080677"
"0.029125","0.029125","0.13048","0.022135","0.031747","0.122325","0.644539","0.085045"
"0.059415","0.05359","0.129025","0.048639","0.043979","0.120869","0.290378","0.172129"
"0.032329","0.03029","0.124364","0.036115","0.02563","0.119996","0.341054","0.060871"
"0.043688","0.034659","0.115627","0.036697","0.036407","0.109219","0.355326","0.120577"
"0.042522","0.045435","0.13281","0.041358","0.042523","0.128442","0.490467","0.088832"
"0.054173","0.041066","0.127277","0.045435","0.037571","0.117957","0.363482","0.113006"
"0.04893","0.037571","0.119122","0.03961","0.032621","0.115917","0.453477","0.102229"
"0.103103","0.081259","0.208245","0.08621","0.076017","0.195429","1.584988","0.158441"
"0.043397","0.04427","0.174168","0.032037","0.050677","0.150868","0.514641","0.088541"
"0.103103","0.072521","0.191643","0.089705","0.063202","0.18145","0.548717","0.144752"
"0.073395","0.060872","0.175042","0.063493","0.055629","0.168635","0.680653","0.1165"
"0.06058","0.066988","0.167469","0.049512","0.052716","0.169508","0.599686","0.094365"
"0.05126","0.032329","0.189605","0.046017","0.034076","0.182032","1.060444","0.093492"
"0.06058","0.049512","0.180867","0.065531","0.05359","0.149703","0.595026","0.115335"
"0.09553","0.047474","0.156401","0.0466","0.043105","0.138927","0.543474","0.085919"
"0.054755","0.043979","0.143878","0.048347","0.050095","0.130189","0.484642","0.068735"
"0.050095","0.045435","0.133684","0.042522","0.039901","0.131355","0.488719","0.076599"
"0.054464","0.043688","0.145626","0.046309","0.039028","0.138926","0.540853","0.077764"
"0.053881","0.043979","0.14417","0.046017","0.039028","0.13718","0.541435","0.069609"
"0.050678","0.041648","0.090288","0.03728","0.036116","0.085628","0.518718","0.072522"
"0.050386","0.04427","0.155236","0.046308","0.041941","0.138636","0.543183","0.079802"
"0.054464","0.054464","0.224264","0.092326","0.09553","0.273776","0.826861","0.075725"
"0.050969","0.03961","0.131936","0.042231","0.035241","0.126695","0.489011","0.073687"
"0.062619","0.049512","0.145334","0.049222","0.043106","0.136888","0.528912","0.078055"
"0.03262","0.03262","0.139801","0.027668","0.030581","0.133101","0.683275","0.068444"
"0.028834","0.040193","0.129316","0.024756","0.038445","0.12349","0.641043","0.069026"
"0.045726","0.042523","0.146499","0.041358","0.039319","0.133393","0.618617","0.073104"
"0.049221","0.051552","0.141839","0.04194","0.043105","0.135141","0.602015","0.081259"
"0.031455","0.035242","0.118248","0.026212","0.027377","0.115044","0.617452","0.066696"
"0.029708","0.028543","0.147955","0.027378","0.027669","0.135723","0.691721","0.073978"
"0.025047","0.026213","0.140966","0.021261","0.023883","0.136888","0.679488","0.071648"
"0.05126","0.041649","0.135723","0.042523","0.036115","0.129024","0.502407","0.071939"
"0.034077","0.032329","0.151159","0.028833","0.031455","0.151159","0.81259","0.067862"
"0.045143","0.036115","0.147373","0.035824","0.031455","0.139218","0.756379","0.063492"
"0.073396","0.059706","0.150577","0.06058","0.050095","0.138053","0.481147","0.130481"
"0.045726","0.044852","0.147373","0.042814","0.038153","0.140091","0.550755","0.070192"
"0.045435","0.044561","0.154072","0.039028","0.03961","0.14213","0.670459","0.083298"
"0.048639","0.03728","0.136888","0.039027","0.03262","0.130189","0.529494","0.074851"
"0.04194","0.031746","0.136888","0.035533","0.028834","0.154655","0.60289","0.078929"
