"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.014563,0.013397,0.047182,0.012815,0.011941,0.043105,0.216691,0.026212
0.020096,0.007863,0.05359,0.01631,0.012815,0.049222,0.169216,0.018057
0.020679,0.015728,0.04893,0.017766,0.014271,0.046018,0.251641,0.024465
0.031455,0.023592,0.07689,0.027087,0.021261,0.069609,0.352705,0.034368
0.021261,0.018931,0.090579,0.017475,0.017184,0.082715,0.592405,0.019514
0.036988,0.027087,0.092909,0.028542,0.022717,0.085919,0.390859,0.042522
0.029416,0.020097,0.084171,0.022135,0.016893,0.08592,2.429033,0.026504
0.02563,0.020679,0.076599,0.019805,0.019805,0.067279,0.380665,0.023882
0.033785,0.020387,0.075726,0.027377,0.016893,0.069026,0.430177,0.054755
0.022426,0.028834,0.086502,0.024756,0.02796,0.094074,0.69842,0.036698
0.025047,0.023009,0.07223,0.022426,0.020387,0.066114,0.381247,0.028251
0.03262,0.027377,0.089705,0.028543,0.023883,0.072522,0.32125,0.032038
0.023883,0.021843,0.081841,0.018349,0.015728,0.061454,0.371344,0.026504
0.02563,0.02097,0.066114,0.021552,0.018348,0.065823,0.389402,0.039319
0.0233,0.029708,0.086793,0.021262,0.016892,0.080094,0.808221,0.031747
0.012232,0.011359,0.078929,0.009903,0.00932,0.071648,0.708322,0.035824
0.030582,0.022135,0.078929,0.026504,0.019513,0.073104,0.373675,0.035824
0.029417,0.024757,0.072813,0.024756,0.02097,0.067861,0.336686,0.033203
0.023883,0.012815,0.067279,0.019514,0.014562,0.062036,0.441828,0.028834
0.02563,0.022427,0.075434,0.019805,0.018931,0.069609,0.397266,0.02796
0.009028,0.008738,0.067861,0.007281,0.007281,0.062618,0.438042,0.018058
0.03262,0.023882,0.073978,0.026503,0.020097,0.069027,0.309017,0.041358
0.026504,0.020679,0.074851,0.022135,0.018348,0.068152,0.330278,0.027377
0.023591,0.031455,0.071356,0.018349,0.018349,0.066697,0.622403,0.033785
0.023882,0.016601,0.081259,0.026212,0.017184,0.080968,0.889771,0.026795
0.032329,0.031164,0.096404,0.021262,0.02097,0.083298,0.956759,0.036115
0.010776,0.009611,0.06291,0.008446,0.008155,0.057959,4.031786,0.013106
0.018057,0.016601,0.070483,0.015727,0.014853,0.066114,0.353578,0.019514
0.030873,0.022718,0.073395,0.02563,0.020096,0.065531,0.429012,0.032329
0.031164,0.024757,0.074269,0.025922,0.022718,0.071357,0.509397,0.031455
0.027378,0.02563,0.076599,0.022135,0.023009,0.070774,0.442702,0.028252
0.029707,0.022426,0.074851,0.025339,0.033203,0.071065,0.387072,0.02796
0.039319,0.027961,0.09553,0.035533,0.024174,0.076017,0.516679,0.036989
0.017766,0.012523,0.069026,0.014854,0.010776,0.06291,0.380373,0.041649
0.022135,0.020388,0.050678,0.018057,0.017184,0.051552,0.212613,0.022718
0.01631,0.018057,0.05592,0.01631,0.026795,0.054464,0.191935,0.029125
0.019806,0.020096,0.056503,0.017184,0.017767,0.053008,0.309017,0.03262
0.022426,0.024757,0.061746,0.019514,0.020678,0.057959,0.170673,0.020679
0.019222,0.017475,0.055337,0.016601,0.015436,0.050678,0.223098,0.057377
0.01165,0.010485,0.05126,0.010485,0.009611,0.048348,0.219894,0.033203
0.009902,0.00932,0.053299,0.008446,0.008155,0.049513,0.247563,0.026795
0.011942,0.011067,0.053298,0.010485,0.010485,0.051842,0.209701,0.046892
0.017475,0.015145,0.054173,0.014563,0.013689,0.049513,0.190187,0.026212
0.018057,0.012524,0.060289,0.015436,0.012815,0.059707,0.306978,0.027087
0.028834,0.036406,0.087666,0.030581,0.023883,0.072813,0.343385,0.22805
0.086793,0.05592,0.175624,0.064075,0.042814,0.145334,0.830065,0.093782
0.092326,0.066114,0.187274,0.049513,0.04194,0.108345,0.541144,0.099025
0.03029,0.019222,0.096695,0.027087,0.019805,0.097278,0.444157,0.069609
0.033494,0.020387,0.106598,0.026795,0.018348,0.098151,0.492797,0.063493
0.028252,0.018349,0.083007,0.019805,0.015437,0.076308,0.715603,0.067279
0.033785,0.027377,0.103103,0.027378,0.022426,0.077181,0.355909,0.073395
0.010194,0.008737,0.074851,0.008155,0.007864,0.072522,0.383286,0.115335
0.024174,0.017766,0.079803,0.020679,0.015145,0.075143,0.604928,0.053007
0.023592,0.023591,0.083589,0.02796,0.024465,0.076599,0.320958,0.050677
0.028834,0.0233,0.087667,0.023591,0.020388,0.080094,0.380665,0.064075
0.026503,0.026795,0.08854,0.022717,0.023009,0.081842,0.40979,0.062911
0.016019,0.011068,0.08621,0.013689,0.022135,0.077473,0.323871,0.045726
0.017766,0.017475,0.074269,0.015436,0.015728,0.071648,0.487845,0.063493
0.024756,0.033785,0.078347,0.02097,0.021553,0.071648,0.361734,0.047183
0.021262,0.020387,0.085045,0.017767,0.017183,0.078055,0.466002,0.055338
0.031164,0.029416,0.087375,0.026504,0.02563,0.081259,0.497748,0.056503
0.02563,0.016602,0.094074,0.021261,0.018057,0.089997,0.620656,0.057959
0.027377,0.029125,0.08854,0.022718,0.024756,0.079803,0.485806,0.043687
0.012232,0.011942,0.084171,0.009612,0.010485,0.078929,0.487263,0.063202
0.009903,0.00932,0.081259,0.008447,0.009029,0.077181,0.404256,0.04427
0.035824,0.029999,0.096113,0.029999,0.026213,0.092909,0.581336,0.039028
0.038445,0.018349,0.102811,0.030872,0.016019,0.091162,0.582211,0.085045
0.034368,0.029707,0.096113,0.029417,0.025339,0.089123,0.420858,0.065823
0.036697,0.028542,0.104267,0.029707,0.0233,0.096404,0.483476,0.087084
0.042231,0.03029,0.119704,0.034077,0.025048,0.106015,0.64046,0.05592
0.032037,0.01631,0.091453,0.025921,0.020679,0.083298,0.552503,0.055046
0.034077,0.027086,0.099899,0.026212,0.021844,0.089705,0.529785,0.039027
0.025339,0.017184,0.104268,0.02097,0.025048,0.096404,0.579007,0.070483
0.030873,0.029125,0.105142,0.026504,0.024465,0.096404,0.823366,0.062036
0.031746,0.018931,0.106306,0.025047,0.015728,0.096695,0.932586,0.055338
0.038445,0.032038,0.106016,0.031747,0.025922,0.096113,0.432799,0.055047
0.020096,0.019223,0.089414,0.016601,0.016019,0.083589,0.450274,0.046018
0.024757,0.019223,0.087957,0.024756,0.01631,0.081259,0.40979,0.062619
0.029416,0.022426,0.087666,0.024465,0.0233,0.096695,0.359403,0.038736
0.036115,0.03029,0.094074,0.029125,0.025922,0.084462,0.404838,0.074852
0.020679,0.023009,0.090287,0.01631,0.019223,0.082424,1.775174,0.040484
0.029125,0.023592,0.081259,0.03029,0.020679,0.075725,0.338434,0.050677
0.041067,0.03029,0.087958,0.030873,0.024174,0.073978,0.262417,0.114462
0.029999,0.022427,0.077764,0.024756,0.019514,0.073104,0.285717,0.059706
0.025339,0.024465,0.073104,0.02097,0.029999,0.075726,0.275815,0.048348
0.035241,0.032911,0.086211,0.027378,0.024465,0.077764,0.309308,0.070774
0.013397,0.014563,0.077181,0.01165,0.01398,0.073395,0.291834,0.050095
0.012524,0.01165,0.076017,0.011067,0.010194,0.070483,0.514058,0.046308
0.022135,0.017766,0.075434,0.01864,0.014854,0.062619,0.241447,0.053008
0.027377,0.022135,0.076599,0.023008,0.017766,0.070483,0.379791,0.062619
0.010776,0.009611,0.069609,0.007863,0.009611,0.065823,3.597822,0.038445
0.031746,0.029999,0.087666,0.051843,0.028834,0.075725,0.313386,0.06291
0.020679,0.014854,0.085336,0.020388,0.014271,0.086502,0.301154,0.053008
0.034076,0.022426,0.115335,0.036698,0.036406,0.108928,0.206205,0.045435
0.024756,0.020387,0.091161,0.0233,0.021553,0.086502,0.359695,0.060871
0.026795,0.022427,0.077182,0.022135,0.019514,0.072521,0.380956,0.048639
0.021844,0.026504,0.088831,0.017475,0.018931,0.062327,0.267368,0.046018
0.047765,0.029125,0.125529,0.035823,0.024757,0.112714,0.579007,0.049804
0.039319,0.034951,0.115044,0.028834,0.028542,0.106889,0.461342,0.029126
0.046892,0.045143,0.118247,0.039611,0.03961,0.112714,0.561532,0.061745
0.031456,0.030873,0.103103,0.025047,0.025339,0.092035,0.528038,0.044853
0.03495,0.027669,0.115336,0.027086,0.029417,0.106016,0.59823,0.040193
0.029126,0.020678,0.110967,0.024465,0.016893,0.100773,0.636966,0.024465
0.021553,0.017184,0.096695,0.018057,0.015145,0.091161,0.980641,0.048348
0.045727,0.039319,0.119995,0.03728,0.033494,0.107763,0.419401,0.048056
0.057085,0.048057,0.126694,0.045436,0.039319,0.116792,0.416198,0.044561
0.049512,0.033203,0.120577,0.040193,0.027669,0.110675,1.937692,0.043397
0.03495,0.032038,0.133684,0.031164,0.036988,0.108345,0.457555,0.02796
0.036406,0.028834,0.081841,0.031455,0.02563,0.081259,0.337851,0.042231
0.034659,0.029999,0.135141,0.033785,0.025921,0.099025,0.407751,0.040193
0.039028,0.036989,0.106307,0.03262,0.031455,0.103976,0.532116,0.032911
0.05825,0.046892,0.122034,0.042523,0.038736,0.11184,0.382704,0.082424
0.02097,0.020096,0.091452,0.017184,0.01631,0.084463,0.522795,0.027086
0.046309,0.035533,0.110675,0.036115,0.032911,0.108054,0.505902,0.03961
0.046017,0.041649,0.110967,0.058541,0.036988,0.111258,0.446487,0.059998
0.025338,0.024174,0.108637,0.020388,0.019513,0.114171,0.473283,0.033494
0.033203,0.033785,0.118831,0.028543,0.023591,0.109802,0.605511,0.04427
0.0233,0.016893,0.122908,0.02097,0.026213,0.094948,0.582793,0.034659
0.018058,0.013106,0.092909,0.015727,0.011941,0.091162,0.461924,0.029999
0.034367,0.028542,0.105433,0.026795,0.028252,0.098443,0.524834,0.038154
0.043105,0.035823,0.120869,0.03495,0.029999,0.110966,0.514641,0.042814
