"BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","GAFES(pop:30,gen:100)","SPLConfig"
1,1,1,0.990680804,0.990680804,1,0.809517097,1
1,1,1,1,1,1,0.704341402,1
1,1,1,1,1,1,0.740445687,0.943898274
1,1,1,1,1,1,0.769760463,1
1,1,1,1,1,1,0.806766028,1
1,1,1,1,1,1,0.963018596,1.020883865
1,1,1,1,1,1,0.763483476,1.069530364
1,0.93294649,1,1,0.93294649,1,0.864480737,1.102063403
1,1,1,1,1,1,0.672541171,1
1,1,1,1,1,1,0.779398757,0.38974321
1,1,1,1,1,1,0.699588124,0.868587554
1,1,1,1,1,1,0.826238577,0.847906305
1,1,1,0.967702831,0.967702831,1,0.395936903,0
1,1,1,1,1,1,0.837978284,1
1,1,1,1,1,1,0.96491395,1
1,1,1,1,0.968386391,1,0.970140899,0.970140899
1,1,1,1,1,1,0.852296415,1
1,1,1,1,1,1,0.797361992,1
1,1,1,1,1,1,0.757017737,1
1,1,1,1,1,1,0.690891618,1
1,1,1,1,1,1,0.940128457,1
1,1,1,1,1,1,0.783935328,1
1,1,1,1,1,1,0.781395838,1
1,1,1,1,1,1,0.844519297,1
1,1,1,1,1,1,0.898063675,1
1,1,1,1,1,1,0.736925219,1
1,1,1,1,1,1,0.742060916,1
1,1,1,1,1,1,0.945326499,0.999837732
1,1,1,1,1,1,0.874140165,1
1,1,1,1,1,1,0.816174126,0.951129937
1,1,1,1,1,1,0.880796006,1
1,1,1,1,1,1,0.635925733,0.635925733
1,1,1,1,1,1,0.645210329,0.988265684
1,1,1,0.952684366,1,0.952684366,0.944619261,0.948950753
1,1,1,1,1,1,0.950821494,1
1,1,1,1,0.835866965,1,0.835866965,1
1,1,1,1,1,1,0.722698744,1
1,1,1,1,1,1,0.731821856,0
1,1,1,1,0.960283949,1,0.554245326,0.809938787
1,0.941127187,1,0.945471029,0.913893366,1,0.927805249,0.927805249
1,1,1,1,1,1,0.967584934,1
1,1,1,1,1,1,0.780656834,1.059580979
1,1,1,1,1,1,0.821713024,1
1,1,1,1,0.859496966,1,0.363492729,0.309206871
1,1,1,1,1,1,0.586593671,1
1,1,1,1,1,1,0.735927949,1
1,1,1,1,1,1,0.784040027,0.911744678
1,1,1,1,0.903653622,1,1,1.056915486
1,1,1,1,1,1,0.536016748,1
1,1,1,1,1,1,0.60371734,1
1,1,1,1,1,1,0.75649786,1
1,1,1,1,1,1,0.559694472,1
1,1,1,1,1,1,0.687091968,1
1,1,1,1,1,1,0.940713219,1
1,1,1,1,1,1,0.806009204,1
1,1,1,1,1,1,0.719973241,1
1,1,1,1,1,1,0.777654306,1
1,1,1,1,1,1,0.939992191,1
1,1,1,1,1,1,0.828500191,0.959742669
1,1,1,1,1,1,0.734925555,1
1,1,1,1,1,1,0.830354254,1
1,1,1,1,1,1,0.936356286,1
1,1,1,1,1,1,0.904801322,1
1,1,1,1,1,1,0.879246663,1
1,1,1,1,1,1,0.832357968,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.841122336,1
1,1,1,1,1,1,0.878026405,0.976675104
1,1,1,1,1,1,0.649482876,0.920606154
1,1,1,1,1,1,0.813961286,1
1,1,1,1,1,1,0.930322595,1
1,1,1,1,1,1,0.823275699,1
1,1,1,1,1,1,0.870518245,1
1,1,1,1,1,1,0.856752679,0.950789658
1,1,1,1,1,1,0.899709679,0.990196918
1,1,1,1,1,1,0.843292962,1
1,1,1,1,1,1,0.64985511,1.014068945
1,1,1,1,1,1,0.776180093,1.084399918
1,1,1,1,1,1,0.778385483,0.983645009
1,1,1,1,1,1,0.882886442,1
1,1,1,1,1,1,0.881503392,1
1,1,1,1,1,1,0.777976379,1
1,1,1,1,1,1,0.728800607,1.049503358
1,1,1,1,1,1,0.696332343,0.868030432
1,1,1,1,1,1,0.878900219,1
1,1,1,1,1,1,0.984844111,1
1,1,1,1,0.940839247,1,0.873109212,0.984226668
1,0.969965051,1,1,0.969965051,1,0.916827898,1
1,1,1,1,1,1,0.869239158,1
1,1,1,1,1,1,0.999345229,1
1,1,1,1,1,1,0.857538436,1
1,1,1,1,0.976031521,1,0.907855877,0.995066597
1,1,1,1,1,1,0.886843447,1
1,1,1,0.997360959,0.994604487,1,1,1
1,1,1,1,1,1,0.618527654,0.969793235
1,1,1,1,1,0.889180877,0.843473006,1.131414522
1,1,1,1,1,1,0.79500589,0.980046437
1,1,1,1,1,1,0.747186687,1
1,1,1,1,1,1,0.878401561,1
1,1,1,1,1,1,0.507386017,1
1,1,1,1,1,1,0.451565643,1
1,1,1,1,1,1,0.960169815,1
1,1,1,1,1,1,0.939647186,1
1,1,1,1,1,1,0.833517737,0.996008356
1,1,1,1,1,1,0.739303505,1
1,1,1,1,1,1,0.933892019,0.971583206
1,1,1,1,1,1,0.610873568,0.984305919
1,1,1,1,1,1,0.680800441,0.971371436
1,1,1,1,1,1,0.862532584,1
1,1,1,1,1,1,0.606894163,0.945817834
1,1,1,1,1,1,0.883608341,0.99647269
1,1,1,1,1,1,0.822244832,1
1,1,1,1,1,1,0.812860731,0.954341288
1,1,1,1,0.998972547,1,0.735506923,1
1,1,1,1,1,1,0.415113132,0.868579135
1,1,1,1,1,1,0.830208368,1
1,1,1,1,1,1,0.793918493,1
1,1,1,1,1,1,0.798547247,1
1,1,1,1,1,1,0.643347352,1
1,1,1,1,1,1,0.803542193,1
1,1,1,1,1,1,0.847365319,0.847365319
1,1,1,1,1,1,0.750543471,0.896518873
1,1,1,1,1,1,0.993386312,0.993386312
1,1,1,1,1,1,0.864244838,0.956021293
1,1,1,1,1,1,0.695179024,1
1,1,1,1,1,1,0.862954574,0.941072553
1,1,1,1,1,1,0.764925367,1
1,1,1,1,1,1,0.811376426,1
0.977984625,0.977984625,0.977984625,0.977984625,0.977984625,0.977984625,0.799060021,1.387644863
1,1,1,1,1,1,0.86938722,1
1,1,1,1,1,1,0.689347994,1
1,1,1,1,1,1,0.747251603,1
1,1,1,1,1,1,0.780869021,0.976781134
1,1,1,1,1,1,0.710437105,1
1,1,1,1,1,1,0.930372436,1.022690904
1,1,1,1,1,1,0.923493174,0.986311329
1,1,1,0.97725149,0.97725149,0.97725149,0.789738713,0.588647657
1,1,1,0.926648856,1,0.926648856,0.796673846,1.003391197
1,1,1,1,1,1,0.913718113,1
1,1,1,1,1,1,0.835337476,0.819725659
1,1,1,1,1,1,0.961935946,1
1,1,1,1,1,1,0.869573065,1
1,1,1,1,1,1,0.849111115,1
1,1,1,0.979826799,0.968515304,1,1,1
1,1,1,1,1,1,0.745372793,0.985899522
1,1,1,1,1,1,0.868606664,1
1,1,1,1,1,1,0.792569227,0.904364093
1,1,1,1,1,1,0.690761564,1
1,1,1,1,1,1,0.727998512,1
1,1,1,0.960152132,0.960152132,1,0.782588476,1
1,0.925391255,1,1,0.925391255,0.945968333,0.939358201,1.039720181
1,1,1,1,0.884254075,1,0.752149261,0.962222383
1,1,1,1,1,1,0.924589075,1
1,1,1,1,0.919796988,1,0.999312879,0.999312879
1,1,1,1,1,1,0.792733551,1
1,1,1,1,1,0.920963027,0.972631112,0.893594139
1,1,1,1,1,1,0.685927904,0.95033404
1,1,1,1,1,1,0.953958457,1
1,1,1,1,1,1,0.888337118,1
1,1,1,1,1,1,0.942964704,1
1,1,1,1,1,1,0.660936784,1
1,1,1,1,1,1,0.876894967,0.990811794
1,1,1,1,1,1,0.845344313,1
1,1,1,1,1,1,0.784390447,1
1,1,1,1,0.962899737,1,0.527099275,0.95276055
1,1,1,1,1,1,0.854434274,1
1,1,1,1,0.94673723,1,1,1
1,1,1,1,0.988776288,1,0.958086598,0.988776288
1,1,1,1,1,1,0.845025188,1
1,1,1,0.966165028,0.877309318,1,0.966165028,0.877309318
1,1,1,1,1,1,0.896364322,0.893731925
1,1,1,1,1,1,0.786209912,0.932772909
1,1,1,1,1,1,0.739246806,1
1,1,1,1,1,1,0.694776568,0.874869618
1,1,1,1,1,1,0.79130033,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.750092469,0.806821921
1,1,1,1,1,1,0.877840846,1
1,1,1,1,1,1,0.748284882,0.902057266
1,1,1,1,1,1,0.69761037,0.733645264
1,1,1,1,1,1,0.845920532,1
1,1,1,0.998588321,0.998588321,1,0.754365146,0.913790348
1,1,1,1,0.972846834,1,0.809101229,0.804613397
1,1,1,0.94487148,0.94487148,1,1,0.859162892
1,1,1,1,1,1,0.576812272,1
1,1,1,1,1,1,0.504132428,1.312763462
