B&B-HB-MHV,BestFS-HB-MHV,B&B-HB-MVPWU,BestFS-HB-MVPWU,B&B-HB-MCF,BestFS-HB-MCF,01LP,BoolOpt
0.109219,0.084171,0.039319,0.02796,0.03961,0.03029,0.21669,0.362899
0.084463,0.077181,0.038154,0.029416,0.035824,0.028543,0.351249,0.40047
0.115044,0.109219,0.018348,0.013107,0.043978,0.034367,0.238825,1.202284
0.101064,0.089414,0.036989,0.023883,0.036115,0.026504,0.267369,0.268824
0.099317,0.092909,0.045435,0.034659,0.039902,0.031455,0.285426,0.278144
0.086792,0.081842,0.040193,0.046309,0.035241,0.027087,0.245524,0.236496
0.103103,0.094948,0.039027,0.032038,0.049221,0.043396,0.234165,0.309891
0.113879,0.105433,0.053882,0.046018,0.068444,0.057958,0.37251,0.422022
0.1165,0.107762,0.059124,0.048056,0.572891,0.266786,0.778514,0.718807
0.161935,0.152033,0.188148,0.175333,0.149412,0.106016,0.439789,0.410081
0.096113,0.088832,0.062036,0.041649,0.034659,0.027669,0.277271,0.359112
0.101646,0.096696,0.029999,0.024465,0.035241,0.031164,0.277271,0.375131
0.104268,0.094074,0.036406,0.028833,0.030581,0.024757,0.276689,0.259504
0.112423,0.106307,0.119705,0.055047,0.327657,0.144752,0.394063,0.339307
0.119122,0.112714,0.093491,0.08155,0.092036,0.084463,0.442701,0.392024
0.104559,0.096695,0.03961,0.030873,0.055629,0.040776,0.324163,0.295328
0.098151,0.092035,0.036989,0.028834,0.037571,0.031164,0.247563,0.264165
0.096695,0.089414,0.049222,0.040193,0.141547,0.071065,0.448235,0.373674
0.104559,0.094074,0.037571,0.027377,0.041357,0.032329,0.264456,0.269698
0.10252,0.093491,0.040484,0.031164,0.058541,0.038154,0.619199,0.512019
0.108345,0.100481,0.048639,0.039901,0.060289,0.050678,0.215526,0.197468
0.084754,0.075725,0.032038,0.02097,0.025339,0.018931,0.30756,0.293872
0.107471,0.098152,0.047474,0.038736,0.053007,0.044853,0.255718,0.31426
0.197468,0.184362,0.155528,0.143878,0.243486,0.149994,0.627646,0.490757
0.102812,0.092327,0.033494,0.027378,0.026503,0.019223,0.290377,0.266494
0.103686,0.095239,0.035533,0.027669,0.03961,0.026795,0.237369,0.215234
0.096695,0.089122,0.038153,0.029125,0.025922,0.019805,0.251932,0.254262
0.087667,0.079512,0.026795,0.019514,0.023882,0.017184,0.25834,0.265038
