Num ineq rest,B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MVPWU,BestFS+HTC+MVPWU,B&B+HTC+MCF,BestFS+HTC+MCF,01LP,BoolOpt
0 ineq rest,0.159897,0.134558,0.038445,0.03029,0.049221,0.045726,0.20038,0.200963
0 ineq rest,0.114752,0.107181,0.045435,0.037863,0.052133,0.043105,0.136014,0.135723
0 ineq rest,0.120287,0.113005,0.031455,0.029125,0.039027,0.033203,0.138344,0.131937
0 ineq rest,0.105432,0.092326,0.0466,0.039901,0.048348,0.051552,0.162809,0.143878
0 ineq rest,0.120578,0.116501,0.046892,0.033785,0.040775,0.035824,0.151159,0.140383
0 ineq rest,0.146208,0.145916,0.063784,0.057668,0.05359,0.045435,0.152033,0.263873
0 ineq rest,0.131646,0.122034,0.059998,0.05359,0.063493,0.051551,0.149411,0.142421
0 ineq rest,0.139801,0.131937,0.059124,0.059998,0.060871,0.047183,0.200089,0.160188
0 ineq rest,0.136015,0.136014,0.03495,0.032037,0.03961,0.031455,0.195138,0.172712
0 ineq rest,0.141257,0.113297,0.053299,0.044271,0.060289,0.049804,0.12116,0.108928
0 ineq rest,0.113296,0.108054,0.035241,0.040484,0.047765,0.116792,0.145043,0.131937
0 ineq rest,0.049222,0.040193,0.024465,0.017766,0.033785,0.021262,0.138344,0.20504
0 ineq rest,0.114461,0.101064,0.043105,0.033494,0.050969,0.036989,0.12116,0.123199
0 ineq rest,0.04427,0.039028,0.025922,0.018349,0.03495,0.024757,0.173003,0.155528
0 ineq rest,0.117665,0.108928,0.05592,0.03728,0.056503,0.044853,0.144751,0.13485
0 ineq rest,0.119995,0.110675,0.033494,0.023592,0.044271,0.032329,0.172712,0.148829
0 ineq rest,0.122326,0.108054,0.044562,0.030872,0.063202,0.041649,0.144461,0.142421
0 ineq rest,0.104559,0.092618,0.048057,0.039319,0.04893,0.039027,0.125529,0.133685
0 ineq rest,0.111258,0.101064,0.045144,0.033202,0.049513,0.037572,0.160188,0.134849
0 ineq rest,0.110675,0.099025,0.039319,0.029708,0.047766,0.03495,0.161062,0.13747
0 ineq rest,0.126402,0.10019,0.049513,0.039319,0.054755,0.044853,0.133975,0.119995
0 ineq rest,0.115336,0.101938,0.03961,0.031747,0.046309,0.039901,0.169799,0.159606
0 ineq rest,0.1165,0.110093,0.02563,0.018641,0.032038,0.024465,0.169217,0.152033
0 ineq rest,0.115044,0.106889,0.042814,0.032038,0.050678,0.035824,0.15611,0.157858
0 ineq rest,0.109802,0.105433,0.015436,0.010485,0.024465,0.016019,0.176498,0.160188
0 ineq rest,0.120578,0.10485,0.037571,0.02796,0.044271,0.03262,0.15378,0.138926
0 ineq rest,0.131062,0.133393,0.040775,0.031746,0.056794,0.041358,0.153781,0.304939
0 ineq rest,0.11883,0.108346,0.037862,0.027669,0.054464,0.041066,0.152907,0.141257
0 ineq rest,0.132519,0.124365,0.050677,0.040192,0.066987,0.048057,0.161061,0.150577
0 ineq rest,0.137179,0.128442,0.032912,0.023882,0.040484,0.028833,0.171838,0.156693
0 ineq rest,0.150286,0.125821,0.054173,0.041066,0.062911,0.047183,0.164265,0.141548
0 ineq rest,0.138635,0.131645,0.052716,0.03961,0.057667,0.043397,0.147956,0.131646
0 ineq rest,0.136015,0.129315,0.039902,0.03029,0.049804,0.039027,0.172712,0.246107
0 ineq rest,0.152324,0.131646,0.07922,0.062036,0.078346,0.057377,0.139801,0.126403
0 ineq rest,0.14213,0.137179,0.040483,0.030873,0.048639,0.038445,0.159897,0.213778
0 ineq rest,0.14213,0.135141,0.043978,0.033785,0.053008,0.038445,0.164266,0.139801
0 ineq rest,0.132228,0.12349,0.054755,0.042814,0.061454,0.04893,0.141256,0.115626
0 ineq rest,0.120578,0.116209,0.039028,0.028834,0.046309,0.033785,0.268242,0.164265
0 ineq rest,0.132228,0.11883,0.049222,0.039319,0.059124,0.042814,0.159023,0.14912
0 ineq rest,0.16776,0.150868,0.0466,0.035532,0.052716,0.04194,0.181741,0.166887
0 ineq rest,0.143586,0.128733,0.0466,0.036698,0.02796,0.01864,0.19572,0.181449
0 ineq rest,0.141257,0.126112,0.054755,0.042231,0.064367,0.047474,0.139801,0.13048
0 ineq rest,0.142421,0.127859,0.069317,0.053299,0.066696,0.052717,0.117083,0.11854
0 ineq rest,0.13281,0.117666,0.046017,0.038445,0.054464,0.040483,0.161936,0.219021
0 ineq rest,0.130189,0.12582,0.069026,0.041067,0.06058,0.040484,0.17213,0.143004
0 ineq rest,0.124655,0.120869,0.015437,0.010776,0.022426,0.014563,0.172712,0.149121
0 ineq rest,0.14213,0.120869,0.055337,0.0466,0.064657,0.049804,0.14446,0.217274
0 ineq rest,0.140966,0.162226,0.048056,0.038445,0.056502,0.043688,0.181158,0.136306
0 ineq rest,0.143878,0.132228,0.055629,0.033494,0.045435,0.029999,0.19339,0.168634
0 ineq rest,0.155819,0.145334,0.037571,0.028834,0.059998,0.034659,0.268533,0.244068
0 ineq rest,0.161062,0.159606,0.044853,0.034368,0.056502,0.03961,0.20475,0.180284
0 ineq rest,0.126986,0.117957,0.028252,0.020388,0.02796,0.01864,0.165139,0.162518
0 ineq rest,0.144752,0.134266,0.033785,0.025921,0.041358,0.030582,0.193099,0.163974
0 ineq rest,0.131937,0.119121,0.062036,0.037863,0.070191,0.045435,0.162518,0.129316
0 ineq rest,0.128151,0.121161,0.056502,0.041358,0.061454,0.0466,0.20737,0.187565
0 ineq rest,0.143004,0.129607,0.049512,0.036697,0.068735,0.040484,0.186691,0.169216
0 ineq rest,0.140674,0.126111,0.052426,0.040775,0.068735,0.050678,0.175042,0.188439
0 ineq rest,0.152615,0.139801,0.080676,0.068444,0.08155,0.064367,0.133393,0.136014
0 ineq rest,0.136596,0.126111,0.03961,0.031164,0.043105,0.03029,0.165722,0.251058
0 ineq rest,0.138927,0.121451,0.056503,0.052716,0.06757,0.048057,0.166013,0.218439
0 ineq rest,0.140383,0.127567,0.049513,0.041066,0.078056,0.041649,0.159023,0.251641
0 ineq rest,0.136888,0.125238,0.05592,0.045144,0.055046,0.039902,0.138053,0.134849
0 ineq rest,0.149703,0.131063,0.045726,0.035241,0.052134,0.03961,0.136014,0.766573
0 ineq rest,0.150577,0.13514,0.08388,0.064949,0.059998,0.049221,0.120578,0.109219
0 ineq rest,0.136597,0.124656,0.027087,0.019222,0.033203,0.0233,0.180575,0.155527
0 ineq rest,0.138344,0.130772,0.021552,0.016019,0.027669,0.020388,0.264747,0.191643
0 ineq rest,0.130772,0.12786,0.029999,0.020387,0.035533,0.024465,0.183197,0.159023
0 ineq rest,0.122907,0.115336,0.0466,0.037571,0.05126,0.039027,0.166304,0.142422
0 ineq rest,0.120578,0.113006,0.038154,0.029416,0.053881,0.040775,0.149412,0.15611
0 ineq rest,0.141548,0.1398,0.059998,0.047183,0.068153,0.05359,0.161353,0.145334
0 ineq rest,0.169799,0.156984,0.091161,0.073104,0.096987,0.069318,0.154655,0.13747
0 ineq rest,0.161061,0.145626,0.085336,0.070192,0.093492,0.075142,0.151451,0.12116
0 ineq rest,0.161935,0.149412,0.056211,0.040484,0.056794,0.040193,0.184362,0.243777
0 ineq rest,0.126985,0.096113,0.033203,0.024174,0.079803,0.050386,0.160771,0.13747
0 ineq rest,0.111258,0.096113,0.04194,0.03262,0.046892,0.034658,0.15611,0.138344
0 ineq rest,0.124947,0.110675,0.049221,0.03728,0.056212,0.043397,0.161353,0.157275
0 ineq rest,0.108346,0.095239,0.013689,0.008737,0.019222,0.012524,0.235331,0.204167
0 ineq rest,0.121743,0.116501,0.037572,0.026795,0.057085,0.032329,0.183488,0.152324
0 ineq rest,0.140383,0.121742,0.048057,0.042523,0.055337,0.039027,0.147665,0.458429
0 ineq rest,0.128441,0.106307,0.045435,0.03029,0.055046,0.065531,0.171838,0.157567
0 ineq rest,0.118831,0.104267,0.043688,0.031455,0.044853,0.03495,0.148829,0.140674
0 ineq rest,0.118247,0.100481,0.031746,0.020678,0.03262,0.020679,0.136306,0.472992
