"Model(Num features)","B&B+HB+MCF","B&B+HB+MVW","B&B+HB+MHV","BestFS+HB+MCF","BestFS+HB+MVW","BestFS+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"Loja Virtual(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.9869330198727857","0.9914369299351201","1.0","1.0","1.0","1.0","1.0"
"SmartHome- Simplified Sample(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Ubuntu(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Implementacion(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.8272008289758122","0.8272008289758122","0.8272008289758122","1.0","1.0","1.0","1.0"
"Imolementacion II(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.25239910717438285","1.0","1.0","1.0","1.0","1.0","1.0"
"Basic Car(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"CarExample(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"mo(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mobile Media v3(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"JDFM(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Analisis(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Matrix chain multiplication(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.926646362077915","0.926646362077915","1.0","1.0","1.0","1.0","1.0"
"Observatorio(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"collapse_view_example(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Match de foot(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Xor Example(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8850471944063154","1.0","1.0","0.8850471944063154","1.0","1.0"
"XOR NEW(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Xor Example 2(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.9936121861202075","0.9936121861202075","0.9936121861202075","1.0","1.0","1.0","1.0"
