"Model(Num features)","B&B+HTC+MCF","B&B+HTC+MVW","B&B+HTC+MHV","BestFS+HTC+MCF","BestFS+HTC+MVW","BestFS+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"Mobile  Model(16)","0.032329","0.0233","0.112714","0.023883","0.018058","0.106598","0.024465","0.018349","0.098734","0.023883","0.018349","0.104559","0.331734"
"Mobile Media(16)","0.041067","0.030581","0.122325","0.030581","0.024756","0.113005","0.031455","0.023883","0.105724","0.030872","0.025921","0.113296","0.36814"
"Exercicio Experimento 1(16)","0.042814","0.071939","0.124655","0.033202","0.045144","0.115626","0.03262","0.036697","0.107471","0.033493","0.039318","0.115044","0.366683"
"Requisitos II(16)","0.060288","0.044853","0.129023","0.039319","0.039028","0.122034","0.033785","0.037571","0.1165","0.033785","0.038445","0.12116","0.509396"
"Pruebas II(16)","0.047182","0.07689","0.122908","0.036406","0.068444","0.115335","0.036697","0.039028","0.107472","0.035824","0.041066","0.113297","0.480854"
"Test Collaboration System(16)","0.039318","0.04194","0.184069","0.029708","0.035241","0.173585","0.029125","0.034368","0.183196","0.031163","0.035824","0.171837","0.251349"
"notebook(16)","0.057085","0.044562","0.108928","0.045435","0.038736","0.102811","0.044562","0.037572","0.093782","0.044853","0.039028","0.102811","0.419109"
"Mobile Media Test(16)","0.046309","0.034659","0.108927","0.034076","0.029416","0.101064","0.03495","0.027668","0.092617","0.033785","0.029708","0.101938","0.405129"
"teste puc(16)","0.043396","0.043688","0.1165","0.031746","0.037862","0.108928","0.031455","0.035824","0.098734","0.031746","0.037572","0.109218","0.387945"
"MobileMedia-Bruno-ExpUFMG(16)","0.047182","0.047473","0.107763","0.034076","0.041066","0.10019","0.034367","0.028543","0.091744","0.034659","0.030581","0.100772","0.382703"
"MobileMedia_mgarnier(16)","0.046017","0.034367","0.107179","0.034076","0.029416","0.100191","0.034368","0.028543","0.093782","0.033785","0.030872","0.109219","0.396101"
"MobileMedia_Diego(16)","0.041066","0.0466","0.111548","0.029124","0.040484","0.10485","0.029708","0.039028","0.095821","0.029416","0.041357","0.10485","0.397557"
"MobileMedia_Luciano(16)","0.043979","0.039611","0.106306","0.034367","0.034368","0.100773","0.028542","0.032911","0.096695","0.028834","0.034659","0.101063","0.456098"
"Sisgeo(16)","0.028834","0.026795","0.145334","0.020678","0.021844","0.133684","0.021552","0.021262","0.122325","0.020096","0.021552","0.134558","0.26562"
"MobileMedia_Cleice(16)","0.036989","0.029125","0.089414","0.028543","0.023883","0.082715","0.029125","0.0233","0.077473","0.028543","0.024465","0.081842","0.394644"
"MobileMedia_Thanis(16)","0.083297","0.040484","0.110092","0.071065","0.03495","0.102228","0.029999","0.032911","0.096695","0.038445","0.032911","0.096113","0.395227"
"Mobile Media_LeonardoSilva(16)","0.0466","0.085337","0.105725","0.033785","0.057377","0.100772","0.033494","0.042814","0.092036","0.033493","0.045435","0.099899","0.364063"
"MobileMedia_DiegoTavares(16)","0.064658","0.050678","0.119995","0.05126","0.043688","0.11184","0.050387","0.040193","0.101355","0.051551","0.043688","0.110675","0.467457"
"MobileMedia_JulianaPadilha(16)","0.035824","0.028834","0.097569","0.024756","0.024174","0.092326","0.025922","0.0233","0.085045","0.024757","0.023592","0.092326","0.342219"
"Mobile_Media_Gabriela(16)","0.028833","0.025339","0.073686","0.021552","0.020971","0.066114","0.022135","0.020096","0.06291","0.021261","0.020096","0.066405","0.449981"
"Mobile Media Thiago(16)","0.065531","0.082424","0.118248","0.05126","0.063202","0.110092","0.034367","0.044562","0.092035","0.033785","0.048348","0.101937","0.406877"
"myHolidays(16)","0.046018","0.032328","0.088248","0.034659","0.027087","0.081842","0.034077","0.026504","0.076307","0.034367","0.027669","0.081841","0.369014"
"Data Collection Model(16)","0.053007","0.046018","0.131645","0.03961","0.039027","0.123782","0.047766","0.043396","0.110675","0.039319","0.039027","0.123198","0.453185"
"MobilePhone(16)","0.059124","0.042231","0.142421","0.045144","0.036407","0.133975","0.044562","0.034659","0.117956","0.044853","0.037281","0.156693","0.323579"
"a(16)","0.041939","0.027669","0.166304","0.036406","0.023009","0.154946","0.032911","0.023009","0.133684","0.074851","0.025338","0.15844","0.353286"
"Middle Office(16)","0.021553","0.017184","0.033785","0.014853","0.013106","0.029124","0.017766","0.013397","0.026795","0.01398","0.013107","0.027669","0.516678"
"IoT-MPL(16)","0.057959","0.068735","0.115918","0.047183","0.050386","0.108054","0.048348","0.04893","0.096695","0.048639","0.051551","0.108927","0.436875"
"Smart Phone Feature Model(16)","0.040192","0.03495","0.15145","0.029416","0.034659","0.142713","0.030872","0.029707","0.115044","0.026795","0.026504","0.127276","0.335229"
"Navigation Protocol(16)","0.045727","0.03728","0.111549","0.03495","0.031164","0.104268","0.035532","0.030873","0.096695","0.034658","0.032329","0.103976","0.399595"
"Urna - Municipal(16)","0.049513","0.027669","0.077763","0.041066","0.023592","0.070774","0.032329","0.0233","0.066988","0.03029","0.024173","0.071647","0.433089"
"SIXL(16)","0.077764","0.057959","0.147081","0.05592","0.050386","0.137762","0.053881","0.04427","0.119413","0.056211","0.051551","0.140674","0.425517"
"dinner(16)","0.055337","0.034368","0.172712","0.04427","0.029416","0.164848","0.0466","0.021261","0.13747","0.034658","0.023009","0.149994","0.280183"
"Small Graph Product Line(17)","0.049513","0.03961","0.157858","0.039319","0.033202","0.179119","0.042814","0.033785","0.147664","0.045144","0.036116","0.162518","0.353868"
"AudioPlayer(17)","0.061453","0.05592","0.120287","0.051551","0.049221","0.112422","0.05126","0.0466","0.103686","0.05359","0.059124","0.104851","0.470952"
"Mobile Media until relase 7(17)","0.05825","0.051842","0.099607","0.049221","0.046017","0.108054","0.050969","0.046892","0.090871","0.053881","0.050095","0.100481","0.517261"
"SMS a Cobrar / Resposta paga(17)","0.060289","0.057667","0.148247","0.049804","0.050677","0.161643","0.048639","0.048639","0.126111","0.051551","0.046601","0.13048","0.362024"
"Basic Text Editor(17)","0.04893","0.045435","0.127859","0.040484","0.03728","0.119704","0.03961","0.036697","0.110093","0.039901","0.038154","0.138343","0.36115"
"GuideAgent(17)","0.046309","0.03961","0.089997","0.0233","0.033785","0.083589","0.035241","0.031746","0.066697","0.035532","0.033786","0.082715","0.571141"
"Mobile Media(17)","0.057959","0.045727","0.145625","0.046891","0.039901","0.136596","0.043105","0.037863","0.120287","0.094073","0.040192","0.158439","0.377168"
"Mobile Media Adriano Lages(17)","0.053007","0.057086","0.14912","0.042814","0.050678","0.14213","0.042523","0.046891","0.123781","0.043396","0.051551","0.143586","0.271736"
"daniel souza(17)","0.0699","0.073977","0.151741","0.058542","0.06495","0.147081","0.052134","0.053881","0.12582","0.057958","0.057376","0.152032","0.362898"
"MobileMedia_BrunoAquino(17)","0.129606","0.157275","0.164848","0.112714","0.089122","0.156693","0.062328","0.062328","0.140674","0.065532","0.067862","0.157275","0.369305"
"MobileMedia_Gustavo(17)","0.048639","0.056502","0.157567","0.03961","0.049513","0.159023","0.041358","0.050969","0.142421","0.042814","0.054464","0.161062","0.332608"
"celular(17)","0.037571","0.026212","0.092326","0.028251","0.021552","0.085046","0.028543","0.020679","0.080093","0.027961","0.021261","0.08388","0.433962"
"Modelo de Celulares(17)","0.033203","0.033785","0.144751","0.024756","0.029125","0.137761","0.023592","0.026212","0.115626","0.021843","0.025047","0.124946","0.520172"
