"Model(Num features)","B&B+HTC+MCF","B&B+HTC+MVW","B&B+HTC+MHV","BestFS+HTC+MCF","BestFS+HTC+MVW","BestFS+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"Mauricio Alférez(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Loja Virtual(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.8752469648490914","0.9504763315768358","1.0","1.0","1.0","1.0","1.0"
"SmartHome- Simplified Sample(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Ubuntu(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Implementacion(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.6748616918757794","0.6748616918757794","1.0","0.6748616918757794","0.9781418865513941","1.0","1.0"
"Imolementacion II(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.2582054356794962","1.0","1.0","1.0","1.0","1.0","1.0"
"Basic Car(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"CarExample(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"mo(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mobile Media v3(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"JDFM(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Analisis(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.4702981306822105","0.4702981306822105","1.0","0.4702981306822105","0.4702981306822105","1.0","1.0"
"Matrix chain multiplication(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.9242904763620623","0.9242904763620623","1.0","1.0","1.0","1.0","1.0"
"Observatorio(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"collapse_view_example(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Match de foot(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Xor Example(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8949746328216972","1.0","1.0","0.8949746328216972","1.0","1.0"
"XOR NEW(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Xor Example 2(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.9937167883087847","0.9937167883087847","0.9937167883087847","1.0","1.0","1.0","1.0"
"Sylvain Example(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"ROOT(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NovoSiga(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"asdsfa ewtwwe(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.7444195257073495","1.0","1.0","0.7444195257073495","1.0","1.0"
"Website(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"1(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"erewr(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Webshop_SPLE2014_Chalmers(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.9945632241214222","1.0","1.0","1.0","1.0","1.0","1.0"
"poker spl(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9204896342340018","1.0","1.0","0.9204896342340018","1.0","1.0"
"r(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9775647778595722","1.0","1.0","1.0","1.0","1.0"
"E-shop(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9954002071400205","1.0","1.0"
"PC model(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"testing(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"ubuntu(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Jogo(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Assistente de Compras(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"HandlingSystem(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Rotation1(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"ESCA Embeeded System(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Cellphone(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"IntelligentTutoringSystem(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"test_fm(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Eshop-ufrj(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.9863271521569127","0.9865933421446734","1.0","1.0","1.0","1.0","1.0"
"Doorlopende reisverzekering(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Dummy Car(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8293334769963885","1.0","1.0","1.0","1.0","1.0"
"WB2(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Text Editor(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Adams Car(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"CCCMS(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9347170053250581","1.0","1.0","0.9347170053250581","1.0","1.0"
"mon model(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"a(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"aaaaaa(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Pruebas(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Address Book(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Sisgeo(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Multiplicador de n matrices(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Movil(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.928748661470662","1.0","1.0","0.928748661470662","1.0","1.0","1.0"
"ID(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"gs(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"MyDental(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"FM with optional XOR(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Final model(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Sylvain Example(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"E-commerce system1(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"FeatureModelName(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Content(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.9718294405788956","1.0","1.0","0.9718294405788956","1.0","1.0","1.0"
"Attempt of mine(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.986594916586378","1.0","1.0","1.0","1.0","1.0"
"Content(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9096165130317807","1.0","1.0","1.0","1.0","1.0"
"Content model(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"eLearning ways(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Topology(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9447836157829991","1.0","1.0","1.0","1.0","1.0"
"This is a test(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.9378694169659335","0.9378694169659335","1.0","1.0","1.0","1.0","1.0"
"Congress Assistant(12)","1.0","1.0","1.0","1.0","1.0","1.0","0.8709464297068803","0.8709464297068803","1.0","1.0","1.0","1.0","1.0"
"JCS(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Ooredoo(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"M-learning Requirements Catalog(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"TW SPL Hard Choices(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Jogo(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"rotation(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Online Shop Feature Model(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Telecommunication_System(12)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Aircraft PL(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"CFDP Library(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"CFDP Library(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Tata Cars(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"KIModel(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"G10-music player(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9972607848402398","1.0","1.0","0.9972607848402398","1.0","1.0"
"RE(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"FM1(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Parking lot Manager(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Veículo(13)","1.0","1.0","1.0","1.0","1.0","1.0","0.8388181767526951","0.8388181767526951","1.0","1.0","1.0","1.0","1.0"
"Car(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Homepage based on wiki(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Toyota Feature Model(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NCV_Simulation(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"i18n(13)","1.0","1.0","1.0","1.0","1.0","1.0","0.9882068715889273","1.0","1.0","1.0","1.0","1.0","1.0"
"MiniRPG(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mobile Media(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Analisis(13)","1.0","1.0","1.0","1.0","1.0","1.0","0.7026944216011927","1.0","1.0","0.7026944216011927","1.0","1.0","1.0"
"Alarm System(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"LMF(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Wewq(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Video On Demand SPL FM(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Video On Demand FM(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8506341354949067","1.0","1.0","1.0","1.0","1.0"
"MyHolidays(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"PortafolioLopez(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Phone(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"cell phones SPL(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9893654850593937","1.0","1.0","0.9893654850593937","1.0","1.0"
"FMConfig(13)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
