"Model(Num features)","B&B+HB+MCF","B&B+HB+MVW","B&B+HB+MHV","BestFS+HB+MCF","BestFS+HB+MVW","BestFS+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"Mobile  Model(16)","0.062037","0.045435","0.213487","0.046309","0.035241","0.198632","0.047182","0.036115","0.194264","0.046309","0.035824","0.198924","0.819577"
"Mobile Media(16)","0.070773","0.05359","0.208826","0.054756","0.044561","0.197176","0.05592","0.042522","0.190477","0.05359","0.043687","0.22834","0.611043"
"Exercicio Experimento 1(16)","0.063784","0.105724","0.180866","0.050968","0.066405","0.17242","0.050968","0.056502","0.174167","0.054755","0.064367","0.185526","0.645411"
"Requisitos II(16)","0.082423","0.059706","0.17446","0.055046","0.052425","0.16543","0.0466","0.05126","0.15611","0.046891","0.053008","0.207661","0.997823"
"Pruebas II(16)","0.073395","0.112714","0.19339","0.059706","0.105724","0.180575","0.054755","0.059416","0.159022","0.054464","0.059998","0.166595","0.94365"
"Test Collaboration System(16)","0.05825","0.062327","0.269407","0.045143","0.053007","0.25863","0.044852","0.050678","0.292706","0.055629","0.06524","0.315715","0.524832"
"notebook(16)","0.10718","0.077764","0.198633","0.082714","0.069318","0.189896","0.080967","0.06757","0.181158","0.092908","0.066987","0.181158","0.848412"
"Mobile Media Test(16)","0.068444","0.054755","0.158731","0.05359","0.044853","0.151159","0.052716","0.043105","0.143878","0.052425","0.044562","0.149995","0.7689"
"teste puc(16)","0.061745","0.06524","0.179119","0.047765","0.057376","0.162518","0.048056","0.054172","0.157567","0.048347","0.056502","0.164847","0.668127"
"MobileMedia-Bruno-ExpUFMG(16)","0.108636","0.098151","0.248727","0.071357","0.080093","0.203001","0.070774","0.05825","0.194846","0.070191","0.061453","0.203584","0.961126"
"MobileMedia_mgarnier(16)","0.077764","0.06291","0.193681","0.06757","0.059414","0.201253","0.077181","0.056212","0.171546","0.054463","0.0466","0.175041","0.701621"
"MobileMedia_Diego(16)","0.062328","0.089705","0.228922","0.050095","0.070774","0.183196","0.049804","0.064366","0.170963","0.049512","0.068152","0.182031","0.714727"
"MobileMedia_Luciano(16)","0.071647","0.063201","0.171547","0.057376","0.057377","0.162809","0.048639","0.054463","0.160479","0.0466","0.056502","0.161352","0.812587"
"Sisgeo(16)","0.052425","0.049512","0.26096","0.038445","0.039901","0.249019","0.037862","0.041358","0.234456","0.038445","0.041649","0.251932","0.673079"
